Ano,Certificado,Tipo,Modelo,Número de Série
2019,101-163257-1.pdf,  WS200-UMB,  Anemômetro de copos,  001.0509.0811.010
2019,101-163258-1.pdf,  WS200-UMB,  Anemômetro Ultrassônico,  001.0509.0811.010
2018,101-164525-1.pdf,  LCA6000 VT,  Anemômetro de pás,  102844
2018,101-165606-1.pdf,   480 / 153,  Anemômetro de pás,  02394348 / 60349153
2018,101-165710-1.pdf,  AD-250,  Anemômetro de pás,  Q696136
2018,101-165822-1.pdf,  LCA 6000 VT,  Anemômetro de pás,  098013
2018,101-165823-1.pdf,  LCA 6000 RVT,  Anemômetro de pás,  086094
2018,101-165828-1.pdf,  LCA 6000,  Anemômetro de pás,  A13816
2018,101-165829-1.pdf,  LCA 6000,  Anemômetro de pás,  A11936
2018,101-165830-1.pdf,  LCA 6000,  Anemômetro de pás,  A13931
2018,101-166043-1.pdf,  THAR-185,  Anemômetro de pás,  Q284649
2018,101-166126-1.pdf,  OMC-160,  Anemômetro de copos,   16005450
2018,101-166127-1.pdf,  OMC-160,  Anemômetro de Copos,  16005450
2018,101-166128-1.pdf,  OMC-160,  Anemômetro de copos,   16006024
2018,101-166129-1.pdf,  OMC-160,  Anemômetro de Copos,  16006024
2018,101-166130-1.pdf,  OMC-160,  Anemômetro de copos,   16004255
2018,101-166131-1.pdf,  OMC-160,  Anemômetro de Copos,  16004255
2018,101-166175-1.pdf,  Vantage Vue 6250,  Anemômetro de copos,   MG14501076
2018,101-166176-1.pdf,  Vantage Vue 6250,  Sensor de direção do vento,  MG14501076
2018,101-166209-1.pdf,  MDA-11,  Anemômetro de pás,  MDAB11000767 / 11000762
2018,101-166210-1.pdf,  MDA-11,  Anemômetro de pás,  MDAB11000767 / 11000762
2018,101-166216-1.pdf,  WXT 520,  Ultrassônico,  J0410030
2018,101-166217-1.pdf,  WXT 520,  Anemômetro de copos,   J0410030
2018,101-166218-1.pdf,  WXT 520,  Ultrassônico,  M4230714
2018,101-166219-1.pdf,  WXT 520,  Anemômetro de copos,   M4230714
2018,101-166220-1.pdf,  WXT 520 ,  Ultrassônico,  M4230713
2018,101-166221-1.pdf,  WXT 520 ,  Anemômetro de copos,   M4230713
2018,101-166222-1.pdf,  WXT 520,  Ultrassônico,  J1450013
2018,101-166223-1.pdf,  WXT 520,  Anemômetro de copos,   J1450013
2018,101-166268-1.pdf,  AH-2100,  Anemômetro de copos,  90201
2018,101-166269-1.pdf,  AH-2100,  Anemômetro de copos,  90201
2018,101-166438-1.pdf,  4.3351.10.000,  Anemômetro de copos,   11143332
2018,101-166439-1.pdf,  4.3351.10.000,  Anemômetro de copos,   11143327
2018,101-166440-1.pdf,  4.3351.10.000,  Anemômetro de copos,   11143344
2018,101-166441-1.pdf,  4.3351.10.000,  Anemômetro de copos,   11143335
2018,101-166442-1.pdf,  4.3351.10.000,  Anemômetro de copos,   11143329
2018,101-166443-1.pdf,  4.3351.10.000,  Anemômetro de copos,   11143330
2018,101-166444-1.pdf,  4.3351.10.000,  Anemômetro de copos,   11143333
2018,101-166445-1.pdf,  4.3351.10.000,  Anemômetro de copos,   11143342
2018,101-166446-1.pdf,  4.3351.10.000,  Anemômetro de copos,   12143871
2018,101-166447-1.pdf,  4.3351.10.000,  Anemômetro de copos,   11143336
2018,101-166448-1.pdf,  4.3351.10.000,  Anemômetro de copos,   11143326
2018,101-166455-1.pdf,  4.3351.10.000,  Anemômetro de copos,   11143345
2018,101-166469-1.pdf,  4.3351.10.000,  Anemômetro de copos,   04114141
2018,101-166516-1.pdf,   Não consta,   Tubo de Pitot S, do pitot   15207
2018,101-166517-1.pdf,   Não consta,   Tubo de Pitot S, do pitot   15206
2018,101-166619-1.pdf,  AM-4836,  Anemômetro de copos,   034596
2018,101-166693-1.pdf,  4.3351.10.000,  Anemômetro de copos,   02132266
2018,101-166694-1.pdf,  4.3351.10.000,  Anemômetro de copos,   02132283
2018,101-166695-1.pdf,  4.3351.10.000,  Anemômetro de copos,   02132282
2018,101-166696-1.pdf,  4.3351.10.000,  Anemômetro de copos,   02132261
2018,101-166697-1.pdf,  4.3351.10.000,  Anemômetro de copos,   0509914
2018,101-166698-1.pdf,  4.3351.10.000,  Anemômetro de copos,   0509910
2018,101-166699-1.pdf,  4.3350.10.000,  Anemômetro de copos,   0509911
2018,101-166700-1.pdf,  4.3351.10.000,  Anemômetro de copos,   02132260
2018,101-166701-1.pdf,  4.3351.10.000,  Anemômetro de copos,   02132272
2018,101-166717-1.pdf,  LCA 6000,  Anemômetro de pás,  A16228
2018,101-166743-1.pdf,  AN-3050,  Anemômetro de pás,  08011428
2018,101-166819-1.pdf,  não consta,  Tubo de pitot estático,  TPP-01
2018,101-166832-1.pdf,  4.3351.10.000,  Anemômetro de copos,   04114141
2018,101-166937-1.pdf,  2000,  Anemômetro de pás,  1797151
2018,101-166977-1.pdf,  AD-250,  Anemômetro de pás,  Q937519
2018,101-167030-1.pdf,  LCA 6000,  Anemômetro de pás,  Não consta
2018,101-167031-1.pdf,  LCA 6000,  Anemômetro de pás,  A13556
2018,101-167073-1.pdf,  AD-250,  Anemômetro de pás,  Não consta
2018,101-167084-1.pdf,  AD-250,  Anemômetro de pás,  Q527842
2018,101-167118-1.pdf,  AK833,  Anemômetro fio quente,  20170900961
2018,101-167127-1.pdf,  AK833,  Anemômetro fio quente,  20170900948
2018,101-167131-1.pdf,  AK833,  Anemômetro fio quente,  20170900960
2018,101-167234-1.pdf,  AM 831,  Anemômetro Pás,  07820
2018,101-167248-1.pdf,  425,  Anemômetro Fio Quente,  02804243
2018,101-167279-1.pdf,  ,  ,  
2018,101-167300-1.pdf,  Não consta,  Pitot  Cole,  ETA EP06
2018,101-167301-1.pdf,  PL-800,  Pitot  Cole,  1673
2018,101-167314-1.pdf,  407113,  Anemômetro de pás,  A.036747
2018,101-167335-1.pdf,  Não consta,  Pitot  Cole,  1525
2018,101-167336-1.pdf,  Não consta,  Pitot  Cole,  17
2018,101-167337-1.pdf,  Não consta,  Pitot  Cole,  1671
2018,101-167342-1.pdf,  425,  Anemômetro Fio Quente,  02795021
2018,101-167343-1.pdf,  425,  Anemômetro fio quente,  02795021
2018,101-167345-1.pdf,  3000,  Anemômetro Pás,  2214659
2018,101-167402-1.pdf,  9555-P / sonda 995,  Anemômetro de pás,  9555P1005021 / sonda P07220027
2018,101-167403-1.pdf,  9555-P / sonda 995,  Anemômetro de pás,  9555P1005021 / sonda P07220027
2018,101-167411-1.pdf,  Não consta,  Pitot  Cole,  1527
2018,101-167412-1.pdf,  Não consta,  Pitot  Cole,  1518
2018,101-167433-1.pdf,  LCA 6000,  Anemômetro de pás,  074216
2018,101-167500-1.pdf,  AN-3,  Anemômetro de copos,   21520
2018,101-167501-1.pdf,  AN-3,  Anemômetro de copos,   21519
2018,101-167564-1.pdf,  WXT 530,  Anemômetro de copos,   N1130363
2018,101-167565-1.pdf,  WXT 530,  Anemômetro de copos,   N1130363
2018,101-167566-1.pdf,  WXT 530,  Anemômetro de copos,   N1130363
2018,101-167567-1.pdf,  WXT 530,  Ultrassônico,  N1130363
2018,101-167568-1.pdf,  400,  Anemômetro de pás,  01183793/602 / Sonda 10059066
2018,101-167578-1.pdf,  C034B,  Anemômetro de copos,   U13677
2018,101-167579-1.pdf,  C034B,  Anemômetro de Copos,  U13677
2018,101-167702-1.pdf,  Accusense UAS1200PC,  Anemômetro de fio quente,  1814-1109283-026
2018,101-167703-1.pdf,  Accusense UAS1200PC,  Anemômetro de fio quente,  1814-1109283-028
2018,101-167727-1.pdf,  405i,  Anemômetro de fio quente ,  48929775
2018,101-167761-1.pdf,  LCA 6000,  Anemômetro de pás,  A13806
2018,101-167840-1.pdf,  AM-4201,  Anemômetro de pás,  L640883
2018,101-167856-1.pdf,  ,  ,  
2018,101-167951-1.pdf,  VT100,  Anemômetro fio quente,  1P131000172
2018,101-167952-1.pdf,  45118,  Anemômetro de pás,  10009023
2018,101-167953-1.pdf,  AN-3010,  Anemômetro de pás,  A3010.0767 / Q667816
2018,101-167967-1.pdf,  MDA-11,  Anemômetro de pás,  18000176 / 792547
2018,101-168114-1.pdf,  480 / ID 485,  Anemômetro fio quente,  02619063 / 02559485
2018,101-168115-1.pdf,  480 / ID 485,  Anemômetro fio quente,  02619063 / 02559485
2018,101-168116-1.pdf,  480 / ID 477,  Anemômetro de pás,  02619063 / 02580477
2018,101-168126-1.pdf,  VT 100,  Anemômetro de fio quente,  1004 2104
2018,101-168424-1.pdf,  425,  Anemômetro de pás,  Não consta
2018,101-168525-1.pdf,  4.3351.10.000,  Anemômetro de copos,   03155221
2018,101-168526-1.pdf,  4.3351.10.000,  Anemômetro de copos,   03155224
2018,101-168527-1.pdf,  4.3351.10.000,  Anemômetro de copos,   03155222
2018,101-168528-1.pdf,  4.3351.10.000,  Anemômetro de copos,   03155216
2018,101-168529-1.pdf,  4.3351.10.000,  Anemômetro de copos,   03155225
